"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
"State  Code","District Code","Sub District Code","India/ State/ Union Territory/ District/ Sub-district",Name,"Total/
Rural/
Urban","Number of villages",,"Number of towns","Number of households",Population,,,"Area
 (In sq. km)","Population per sq. km."
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
1,2,3,4,5,6,7,8,9,10,11,12,13,13,14
00,000,00000,INDIA,"INDIA @&",Total,597608,43324,7933,249501663,1210854977,623270258,587584719,3287469,382
00,000,00000,INDIA,"INDIA $",Rural,597608,43324,0,168612897,833748852,427781058,405967794,3101473.97,279
00,000,00000,INDIA,"INDIA $",Urban,0,0,7933,80888766,377106125,195489200,181616925,102252.03,3685
01,000,00000,STATE,"JAMMU & KASHMIR @&",Total,6337,216,122,2119718,12541302,6640662,5900640,222236,124
01,000,00000,STATE,"JAMMU & KASHMIR",Rural,6337,216,0,1553433,9108060,4774477,4333583,220990.1,91
01,000,00000,STATE,"JAMMU & KASHMIR",Urban,0,0,122,566285,3433242,1866185,1567057,1245.9000000000001,2755
01,001,00000,DISTRICT,Kupwara,Total,353,9,10,113929,870354,474190,396164,2379,366
01,001,00000,DISTRICT,Kupwara,Rural,353,9,0,101930,765625,412038,353587,2331.66,328
01,001,00000,DISTRICT,Kupwara,Urban,0,0,10,11999,104729,62152,42577,47.34,2212
01,001,00001,SUB-DISTRICT,Kupwara,Total,118,4,7,63022,540914,297837,243077,301.94,1791
01,001,00001,SUB-DISTRICT,Kupwara,Rural,118,4,0,56014,465323,252856,212467,275.02999999999997,1692
01,001,00001,SUB-DISTRICT,Kupwara,Urban,0,0,7,7008,75591,44981,30610,26.91,2809
01,001,00002,SUB-DISTRICT,Handwara,Total,196,3,1,39485,269311,141882,127429,291.47000000000003,924
01,001,00002,SUB-DISTRICT,Handwara,Rural,196,3,0,37474,255711,134503,121208,282.97000000000003,904
01,001,00002,SUB-DISTRICT,Handwara,Urban,0,0,1,2011,13600,7379,6221,8.5,1600
01,001,00003,SUB-DISTRICT,Karnah,Total,39,2,2,11422,60129,34471,25658,69.89,860
01,001,00003,SUB-DISTRICT,Karnah,Rural,39,2,0,8442,44591,24679,19912,57.96,769
01,001,00003,SUB-DISTRICT,Karnah,Urban,0,0,2,2980,15538,9792,5746,11.93,1302
01,002,00000,DISTRICT,Badgam,Total,462,12,9,103363,753745,398041,355704,1361,554
01,002,00000,DISTRICT,Badgam,Rural,462,12,0,89417,655833,343385,312448,1311.95,500
01,002,00000,DISTRICT,Badgam,Urban,0,0,9,13946,97912,54656,43256,49.05,1996
01,002,00004,SUB-DISTRICT,Khag,Total,49,0,0,8799,67596,34457,33139,61.12,1106
01,002,00004,SUB-DISTRICT,Khag,Rural,49,0,0,8799,67596,34457,33139,61.12,1106
01,002,00004,SUB-DISTRICT,Khag,Urban,0,0,0,0,0,0,0,0,0
01,002,00005,SUB-DISTRICT,Beerwah,Total,102,2,2,20914,163333,87277,76056,134.07,1218
01,002,00005,SUB-DISTRICT,Beerwah,Rural,102,2,0,19161,149671,80103,69568,126.77,1181
01,002,00005,SUB-DISTRICT,Beerwah,Urban,0,0,2,1753,13662,7174,6488,7.3,1872
01,002,00006,SUB-DISTRICT,Khansahib,Total,96,3,1,16432,123312,64227,59085,125.91,979
01,002,00006,SUB-DISTRICT,Khansahib,Rural,96,3,0,16080,120682,62783,57899,121.61,992
01,002,00006,SUB-DISTRICT,Khansahib,Urban,0,0,1,352,2630,1444,1186,4.3,612
01,002,00007,SUB-DISTRICT,Budgam,Total,95,2,2,19774,133855,70182,63673,146.16,916
