yeat,temperature,uncertainity,state,country,lang,lat
1796/01/01,24.316999999999997,2.19,Bombay,India,18.48N,72.68E
1796/02/01,23.923,1.484,Bombay,India,18.48N,72.68E
1796/03/01,24.406999999999996,2.309,Bombay,India,18.48N,72.68E
1796/04/01,27.171,1.65,Bombay,India,18.48N,72.68E
1796/05/01,29.05,1.29,Bombay,India,18.48N,72.68E
1796/06/01,28.539,3.125,Bombay,India,18.48N,72.68E
1796/07/01,26.857,2.249,Bombay,India,18.48N,72.68E
1796/08/01,26.887,2.95,Bombay,India,18.48N,72.68E
1796/09/01,27.123,3.379,Bombay,India,18.48N,72.68E
1796/10/01,27.562,1.493,Bombay,India,18.48N,72.68E
1796/11/01,26.965999999999998,3.033,Bombay,India,18.48N,72.68E
1796/12/01,23.971999999999998,3.966,Bombay,India,18.48N,72.68E
1797/01/01,,,Bombay,India,18.48N,72.68E
1797/02/01,,,Bombay,India,18.48N,72.68E
1797/03/01,24.988000000000003,1.944,Bombay,India,18.48N,72.68E
1797/04/01,26.528,2.769,Bombay,India,18.48N,72.68E
1797/05/01,28.488000000000003,2.185,Bombay,India,18.48N,72.68E
1797/06/01,29.328000000000007,2.026,Bombay,India,18.48N,72.68E
1797/07/01,27.069000000000003,2.255,Bombay,India,18.48N,72.68E
1797/08/01,27.246,2.162,Bombay,India,18.48N,72.68E
1797/09/01,27.253,2.864,Bombay,India,18.48N,72.68E
1797/10/01,27.232,2.043,Bombay,India,18.48N,72.68E
1797/11/01,26.246,1.749,Bombay,India,18.48N,72.68E
1797/12/01,25.502,2.5780000000000003,Bombay,India,18.48N,72.68E
1798/01/01,24.467,1.969,Bombay,India,18.48N,72.68E
1798/02/01,24.320999999999998,1.798,Bombay,India,18.48N,72.68E
1798/03/01,26.287,1.707,Bombay,India,18.48N,72.68E
1798/04/01,,,Bombay,India,18.48N,72.68E
1798/05/01,,,Bombay,India,18.48N,72.68E
1798/06/01,28.843000000000004,2.055,Bombay,India,18.48N,72.68E
1798/07/01,28.105,2.196,Bombay,India,18.48N,72.68E
1798/08/01,27.394000000000002,4.078,Bombay,India,18.48N,72.68E
1798/09/01,27.197,2.563,Bombay,India,18.48N,72.68E
1798/10/01,27.535,2.15,Bombay,India,18.48N,72.68E
1798/11/01,27.479,2.462,Bombay,India,18.48N,72.68E
1798/12/01,25.185,2.049,Bombay,India,18.48N,72.68E
1799/01/01,23.938,2.0780000000000003,Bombay,India,18.48N,72.68E
1799/02/01,22.776,2.366,Bombay,India,18.48N,72.68E
1799/03/01,25.171,2.46,Bombay,India,18.48N,72.68E
1799/04/01,27.868,3.1010000000000004,Bombay,India,18.48N,72.68E
1799/05/01,29.250999999999998,1.368,Bombay,India,18.48N,72.68E
1799/06/01,29.241,2.411,Bombay,India,18.48N,72.68E
1799/07/01,27.194000000000003,1.95,Bombay,India,18.48N,72.68E
1799/08/01,27.122,1.183,Bombay,India,18.48N,72.68E
1799/09/01,27.249000000000002,2.2840000000000003,Bombay,India,18.48N,72.68E
1799/10/01,28.156999999999996,1.842,Bombay,India,18.48N,72.68E
1799/11/01,26.838,1.797,Bombay,India,18.48N,72.68E
1799/12/01,25.355,1.585,Bombay,India,18.48N,72.68E
1800/01/01,24.394,1.811,Bombay,India,18.48N,72.68E
1800/02/01,24.476999999999997,3.5010000000000003,Bombay,India,18.48N,72.68E
1800/03/01,25.033,2.8680000000000003,Bombay,India,18.48N,72.68E
1800/04/01,28.385,1.626,Bombay,India,18.48N,72.68E
1800/05/01,28.427000000000003,1.279,Bombay,India,18.48N,72.68E
1800/06/01,28.65,1.368,Bombay,India,18.48N,72.68E
1800/07/01,26.586,1.765,Bombay,India,18.48N,72.68E
1800/08/01,26.526,2.077,Bombay,India,18.48N,72.68E
1800/09/01,26.221,2.056,Bombay,India,18.48N,72.68E
1800/10/01,27.877,2.215,Bombay,India,18.48N,72.68E
1800/11/01,27.47,2.57,Bombay,India,18.48N,72.68E
1800/12/01,25.849,1.69,Bombay,India,18.48N,72.68E
1801/01/01,24.724,1.599,Bombay,India,18.48N,72.68E
1801/02/01,23.601,1.27,Bombay,India,18.48N,72.68E
1801/03/01,27.124000000000002,1.872,Bombay,India,18.48N,72.68E
1801/04/01,,,Bombay,India,18.48N,72.68E
1801/05/01,,,Bombay,India,18.48N,72.68E
1801/06/01,28.076,1.844,Bombay,India,18.48N,72.68E
