"State/Union Territory/District","Census Year",Persons,"Variation since the preceding census ",,Males,Females,,
PUNJAB,1901,7544790,-,-,4118386,3426404,,
PUNJAB,1911,6731510,-813280,-10.779359001377109,3782236,2949274,,
PUNJAB,1921,7152811,421301,6.2586403347837258,3976180,3176631,,
PUNJAB,1931,8012325,859514,12.016450595437234,4415292,3597033,,
PUNJAB,1941,9600236,1587911,19.818354847063741,5228280,4371956,,
PUNJAB,1951,9160500,-439736,-4.580470730094552,4968206,4192294,,
PUNJAB,1961,11135069,1974569,21.555253534195732,6007566,5127503,,
PUNJAB,1971,13551060,2415991,21.697135419636826,7266515,6284545,,
PUNJAB,1981,16788915,3237855,23.893739677929254,8937210,7851705,,
PUNJAB,1991,20281969,3493054,20.80571615259235,10778034,9503935,,
PUNJAB,2001,24358999,4077030,20.101746531611404,12985045,11373954,,
PUNJAB,2011,27743338,3384339,13.893588156065034,14639465,13103873,,
,,,,,,,,
Gurdaspur,1901,702372,-,-,378985,323387,,
Gurdaspur,1911,622008,-80364,-11.441800071756846,350693,271315,,
Gurdaspur,1921,634394,12386,1.9912927164923924,353615,280779,,
Gurdaspur,1931,718523,84129,13.261317099468155,397193,321330,,
Gurdaspur,1941,854968,136445,18.98964960063909,463969,390999,,
Gurdaspur,1951,851140,-3828,-0.44773605561845592,461017,390123,,
Gurdaspur,1961,980868,129728,15.241675870009635,524739,456129,,
Gurdaspur,1971,1229464,248596,25.34449079794631,650393,579071,,
Gurdaspur,1981,1513435,283971,23.09713826513017,793484,719951,,
Gurdaspur,1991,1756732,243297,16.075814290009152,923343,833389,,
Gurdaspur,2001,2103455,346723,19.736818137314057,1112785,990670,,
Gurdaspur,2011,2298323,194868,9.2641867784193153,1212617,1085706,,
,,,,,,,,
Kapurthala,1901,N.A,-,-,N.A.,N.A.,,
Kapurthala,1911,N.A,N.A,N.A,N.A.,N.A.,,
Kapurthala,1921,N.A,N.A,N.A,N.A.,N.A.,,
Kapurthala,1931,N.A,N.A,N.A,N.A.,N.A.,,
Kapurthala,1941,N.A,N.A,N.A,N.A.,N.A.,,
Kapurthala,1951,295071,N.A,N.A,156921,138150,,
Kapurthala,1961,343778,48707,16.506874616617697,182299,161479,,
Kapurthala,1971,429514,85736,24.939350394731484,227331,202183,,
Kapurthala,1981,545249,115735,26.945571040757695,287286,257963,,
Kapurthala,1991,646647,101398,18.596641167613328,341030,305617,,
Kapurthala,2001,754521,107874,16.682053732561968,399623,354898,,
Kapurthala,2011,815168,60647,8.0378147195372964,426311,388857,,
,,,,,,,,
Jalandhar,1901,721579,-,-,390550,331029,,
Jalandhar,1911,630769,-90810,-12.584900613792808,353813,276956,,
Jalandhar,1921,647086,16317,2.5868424098203939,358037,289049,,
Jalandhar,1931,742659,95573,14.769752397672026,403439,339220,,
Jalandhar,1941,887080,144421,19.446475434890036,477098,409982,,
Jalandhar,1951,829858,-57222,-6.4506019750191639,446829,383029,,
Jalandhar,1961,981801,151943,18.309518013925274,525811,455990,,
Jalandhar,1971,1175196,193395,19.697983603601951,624020,551176,,
Jalandhar,1981,1406587,231391,19.68956667653736,744164,662423,,
Jalandhar,1991,1649937,243350,17.300742861977255,869627,780310,,
Jalandhar,2001,1962761,312824,18.95975422091874,1040212,922549,,
Jalandhar,2011,2193590,230829,11.760423199768082,1145211,1048379,,
,,,,,,,,
Hoshiarpur,1901,650662,-,-,346426,304236,,
Hoshiarpur,1911,603685,-46977,-7.2198776015811585,330191,273494,,
Hoshiarpur,1921,609650,5965,0.98809809751774513,328443,281207,,
Hoshiarpur,1931,678526,68876,11.297629787583039,363520,315006,,
Hoshiarpur,1941,769884,91358,13.464185602320324,409695,360189,,
Hoshiarpur,1951,712440,-57444,-7.4613837928830833,379499,332941,,
Hoshiarpur,1961,782483,70043,9.831424400651283,411474,371009,,
Hoshiarpur,1971,948505,166022,21.217329961162097,499397,449108,,
Hoshiarpur,1981,1116326,167821,17.693211949330788,581859,534467,,
Hoshiarpur,1991,1299261,182935,16.387238136530009,675184,624077,,
Hoshiarpur,2001,1481292,182031,14.010348959908749,765424,715868,,
Hoshiarpur,2011,1586625,105333,7.1108869824450549,809057,777568,,
,,,,,,,,
"Shahid ",1901,269801,-,-,145365,124436,,
"Shahid ",1911,239880,-29921,-11.090025611469194,133580,106300,,
"Shahid ",1921,244966,5086,2.120226780056695,134516,110450,,
"Shahid ",1931,278703,33737,13.772115313961937,150814,127889,,
"Shahid ",1941,328209,49506,17.762995016200041,176015,152194,,
"Shahid ",1951,306122,-22087,-6.729553424799442,163148,142974,,
"Shahid ",1961,332944,26822,8.7618661840704029,175257,157687,,
"Shahid ",1971,382523,49579,14.891092796386179,202712,179811,,
"Shahid ",1981,456434,73911,19.321975410628902,240434,216000,,
"Shahid ",1991,531253,74819,16.392074210071993,279658,251595,,
"Shahid ",2001,587468,56215,10.581587303977578,306902,280566,,
"Shahid ",2011,612310,24842,4.2286558587020906,313291,299019,,
,,,,,,,,
"Fatehgarh Sahib",1901,N.A.,-,-,N.A,N.A,,
"Fatehgarh Sahib",1911,N.A.,N.A,N.A,N.A,N.A,,
"Fatehgarh Sahib",1921,N.A.,N.A,N.A,N.A,N.A,,
"Fatehgarh Sahib",1931,N.A.,N.A,N.A,N.A,N.A,,
"Fatehgarh Sahib",1941,N.A.,N.A,N.A,N.A,N.A,,
"Fatehgarh Sahib",1951,191919,N.A,N.A,108220,83699,,
"Fatehgarh Sahib",1961,246234,54315,28.301001985212512,135642,110592,,
"Fatehgarh Sahib",1971,305407,59173,24.031206088517425,166762,138645,,
"Fatehgarh Sahib",1981,389139,83732,27.416529418120739,211331,177808,,
"Fatehgarh Sahib",1991,455312,66173,17.004977655799085,243369,211943,,
"Fatehgarh Sahib",2001,538470,83158,18.263959658432022,290370,248100,,
"Fatehgarh Sahib",2011,600163,61693,11.457091388563894,320795,279368,,
,,,,,,,,
Ludhiana,1901,685038,-,-,374454,310584,,
Ludhiana,1911,527575,-157463,-22.986024132967806,298827,228748,,
Ludhiana,1921,579161,51586,9.7779462635644219,324581,254580,,
Ludhiana,1931,687387,108226,18.68668643088882,383816,303571,,
Ludhiana,1941,839622,152235,22.146912874406993,458351,381271,,
Ludhiana,1951,858487,18865,2.246844413319327,463478,395009,,
Ludhiana,1961,1078269,219782,25.601086562755174,580859,497410,,
Ludhiana,1971,1384957,306688,28.442624243115585,749520,635437,,
Ludhiana,1981,1778689,393732,28.429185888081722,956423,822266,,
Ludhiana,1991,2428382,649693,36.526509131163458,1316748,1111634,,
Ludhiana,2001,3032831,604449,24.891017969989896,1662716,1370115,,
Ludhiana,2011,3498739,465908,15.362148434911145,1867816,1630923,,
,,,,,,,,
Moga,1901,N.A,-,-,N.A,N.A,,
Moga,1911,N.A,N.A,N.A,N.A,N.A,,
Moga,1921,N.A,N.A,N.A,N.A,N.A,,
Moga,1931,N.A,N.A,N.A,N.A,N.A,,
Moga,1941,N.A,N.A,N.A,N.A,N.A,,
Moga,1951,379181,N.A,N.A,203121,176060,,
Moga,1961,443135,63954,16.866351425836211,237937,205198,,
Moga,1971,536623,93488,21.096956909294008,287611,249012,,
Moga,1981,655873,119250,22.222305044696185,348603,307270,,
Moga,1991,777894,122021,18.604363954607066,412850,365044,,
Moga,2001,894793,116899,15.027625871905427,474104,420689,,
Moga,2011,995746,100953,11.282274224317803,525920,469826,,
,,,,,,,,
Firozpur,1901,433179,-,-,237195,195984,,
Firozpur,1911,448647,15468,3.5708102193319622,252326,196321,,
Firozpur,1921,552515,103868,23.151386279190543,306542,245973,,
Firozpur,1931,575990,23475,4.2487534275087553,317455,258535,,
Firozpur,1941,710895,134905,23.421413566207747,392662,318233,,
Firozpur,1951,625055,-85840,-12.074919643547922,340610,284445,,
Firozpur,1961,786775,161720,25.872923182759916,427559,359216,,
Firozpur,1971,936623,149848,19.045851736519335,499246,437377,,
